id_dato_jugador_partido,id_jugador,id_partido,amarilla,roja,lesion,cambio,asistencias,goles,sustituido_por
45,135,1,0,0,0,-1,0,0,-1
46,136,1,0,0,0,-1,0,0,-1
47,137,1,1,0,0,-1,0,0,-1
48,140,1,0,0,0,71,0,0,139
49,141,1,0,0,0,-1,0,0,-1
50,151,1,0,0,0,64,0,0,145
51,148,1,0,0,0,-1,0,0,-1
52,153,1,0,0,0,46,0,0,152
53,149,1,1,0,0,46,0,0,158
54,160,1,0,0,0,46,0,0,156
55,159,1,1,0,0,-1,0,0,-1
56,134,1,0,0,0,-1,0,0,-1
57,139,1,0,0,0,71,0,0,-1
58,152,1,0,0,0,46,0,0,-1
59,145,1,0,0,0,64,0,0,-1
60,658,1,0,0,0,-1,0,0,-1
61,146,1,0,0,0,-1,0,0,-1
62,158,1,0,0,0,46,0,0,-1
63,155,1,0,0,0,-1,0,0,-1
64,156,1,0,0,0,46,0,0,-1
65,161,1,0,0,0,-1,0,0,-1
66,659,1,0,0,0,-1,0,0,-1
67,157,1,0,0,0,-1,0,0,-1
68,0,1,0,0,0,-1,0,0,-1
69,10,1,1,0,0,-1,1,0,-1
70,11,1,0,0,1,50,0,0,7
71,14,1,0,0,0,-1,0,0,-1
72,9,1,0,0,0,-1,1,0,-1
73,19,1,0,0,0,-1,0,0,-1
74,23,1,0,0,0,71,0,0,30
75,24,1,0,0,0,-1,0,0,-1
76,25,1,0,0,0,-1,0,1,-1
77,35,1,0,0,0,80,0,0,26
78,34,1,0,0,0,80,0,1,33
79,4,1,0,0,0,-1,0,0,-1
80,2,1,0,0,0,-1,0,0,-1
81,17,1,0,0,0,-1,0,0,-1
82,660,1,0,0,0,-1,0,0,-1
83,16,1,0,0,0,-1,0,0,-1
84,7,1,0,0,0,50,0,0,-1
85,26,1,0,0,0,80,0,0,-1
86,30,1,0,0,0,71,0,0,-1
87,21,1,0,0,0,-1,0,0,-1
88,33,1,0,0,0,80,0,0,-1
884,135,20,0,0,0,-1,0,0,-1
885,136,20,1,0,0,-1,0,0,-1
886,137,20,0,0,0,-1,0,0,-1
887,139,20,0,0,0,66,0,0,144
888,140,20,0,0,0,-1,0,0,-1
889,148,20,1,0,0,85,0,0,147
890,151,20,1,0,0,-1,0,2,-1
891,149,20,0,0,0,66,0,0,153
892,160,20,0,0,0,75,0,0,157
893,159,20,0,0,0,-1,1,0,-1
894,158,20,0,0,0,66,0,1,156
895,134,20,0,0,0,-1,0,0,-1
896,144,20,0,0,0,66,0,0,-1
897,142,20,0,0,0,-1,0,0,-1
898,146,20,0,0,0,-1,0,0,-1
899,153,20,0,0,0,66,0,1,-1
900,145,20,0,0,0,-1,0,0,-1
901,147,20,0,0,0,85,0,0,-1
902,161,20,0,0,0,-1,0,0,-1
903,155,20,0,0,0,-1,0,0,-1
904,157,20,0,0,0,75,0,0,-1
905,659,20,0,0,0,-1,0,0,-1
906,156,20,1,0,0,66,0,0,-1
907,200,20,0,0,0,-1,0,0,-1
908,706,20,0,0,0,-1,0,0,-1
909,203,20,0,0,0,-1,0,0,-1
910,201,20,1,0,0,58,0,0,205
911,212,20,0,0,0,-1,0,0,-1
912,218,20,0,0,0,74,0,0,710
913,215,20,1,0,0,65,0,0,709
914,216,20,0,0,0,-1,0,1,-1
915,226,20,0,0,0,-1,0,0,-1
916,224,20,0,0,0,57,1,0,221
917,230,20,0,0,0,74,0,1,708
918,198,20,0,0,0,-1,0,0,-1
919,199,20,0,0,0,-1,0,0,-1
920,202,20,0,0,0,-1,0,0,-1
921,206,20,0,0,0,-1,0,0,-1
922,204,20,0,0,0,-1,0,0,-1
923,205,20,0,0,0,58,0,0,-1
924,710,20,0,0,0,74,0,0,-1
925,222,20,0,0,0,-1,0,0,-1
926,709,20,0,0,0,65,0,0,-1
927,221,20,0,0,0,57,0,0,-1
928,711,20,0,0,0,-1,0,0,-1
929,708,20,0,0,0,74,0,0,-1
1772,135,40,0,0,0,-1,0,0,-1
1773,136,40,1,0,0,68,0,0,157
1774,137,40,0,0,0,-1,0,0,-1
1775,144,40,0,0,0,-1,0,0,-1
1776,141,40,0,0,0,-1,1,0,-1
1777,148,40,0,0,0,81,0,0,153
1778,151,40,0,0,0,-1,0,0,-1
1779,152,40,0,0,0,81,0,0,145
1780,156,40,0,0,0,63,0,0,149
1781,159,40,0,0,0,-1,0,1,-1
1782,158,40,0,0,0,68,0,1,143
1783,134,40,0,0,0,-1,0,0,-1
1784,143,40,0,0,0,68,0,0,-1
1785,139,40,0,0,0,-1,0,0,-1
1786,140,40,0,0,0,-1,0,0,-1
1787,149,40,0,0,0,63,0,0,-1
1788,153,40,0,0,0,81,0,0,-1
1789,145,40,0,0,0,81,0,0,-1
1790,146,40,0,0,0,-1,0,0,-1
1791,147,40,0,0,0,-1,0,0,-1
1792,155,40,0,0,0,-1,0,0,-1
1793,161,40,0,0,0,-1,0,0,-1
1794,157,40,0,0,0,68,1,1,-1
1795,549,40,0,0,0,-1,0,0,-1
1796,555,40,1,0,0,-1,0,0,-1
1797,561,40,0,0,0,-1,0,0,-1
1798,558,40,1,0,0,-1,0,0,-1
1799,556,40,0,0,0,-1,0,0,-1
1800,567,40,0,0,0,-1,0,0,-1
1801,571,40,1,0,0,78,0,0,564
1802,583,40,0,0,0,59,0,0,579
1803,577,40,0,0,0,60,0,0,581
1804,582,40,0,0,0,59,0,0,575
1805,574,40,0,0,0,77,0,0,714
1806,550,40,0,0,0,-1,0,0,-1
1807,562,40,0,0,0,-1,0,0,-1
1808,557,40,0,0,0,-1,0,0,-1
1809,560,40,0,0,0,-1,0,0,-1
1810,559,40,0,0,0,-1,0,0,-1
1811,566,40,0,0,0,-1,0,0,-1
1812,564,40,0,0,0,78,0,0,-1
1813,568,40,0,0,0,-1,0,0,-1
1814,581,40,0,0,0,60,0,0,-1
1815,575,40,0,0,0,59,0,0,-1
1816,714,40,0,0,0,77,0,0,-1
1817,579,40,1,0,0,59,0,0,-1
2658,135,60,0,0,0,-1,0,0,-1
2659,136,60,1,0,0,46,0,0,143
2660,137,60,0,0,0,-1,0,0,-1
2661,144,60,0,0,0,-1,0,1,-1
2662,141,60,0,0,0,-1,1,0,-1
2663,145,60,0,0,0,82,0,0,146
2664,151,60,0,0,0,65,0,0,161
2665,152,60,0,1,0,-1,0,0,-1
2666,156,60,0,0,0,85,1,0,149
2667,159,60,1,0,0,-1,0,1,-1
2668,158,60,1,0,0,65,0,0,147
2669,134,60,0,0,0,-1,0,0,-1
2670,140,60,0,0,0,-1,0,0,-1
2671,143,60,1,0,0,46,0,0,-1
2672,139,60,0,0,0,-1,0,0,-1
2673,153,60,0,0,0,-1,0,0,-1
2674,146,60,0,0,0,82,0,0,-1
2675,147,60,0,0,0,65,0,0,-1
2676,149,60,0,0,0,85,0,0,-1
2677,157,60,0,0,0,-1,0,0,-1
2678,161,60,1,0,0,65,0,0,-1
2679,155,60,0,0,0,-1,0,0,-1
2680,296,60,0,0,0,-1,0,0,-1
2681,304,60,0,0,0,-1,0,1,-1
2682,301,60,0,0,0,-1,0,0,-1
2683,302,60,0,0,0,-1,0,0,-1
2684,306,60,0,0,0,77,0,0,300
2685,303,60,1,0,0,65,0,0,319
2686,318,60,0,0,0,85,0,0,323
2687,317,60,0,0,0,77,0,0,299
2688,311,60,0,0,0,65,0,0,325
2689,326,60,0,0,0,-1,1,0,-1
2690,322,60,0,0,0,-1,0,0,-1
2691,294,60,0,0,0,-1,0,0,-1
2692,297,60,0,0,0,-1,0,0,-1
2693,308,60,1,0,0,-1,0,0,-1
2694,691,60,1,0,0,-1,0,0,-1
2695,299,60,0,0,0,77,1,0,-1
2696,300,60,1,0,0,77,0,0,-1
2697,690,60,0,0,0,-1,0,0,-1
2698,315,60,0,0,0,-1,0,0,-1
2699,319,60,1,0,0,65,0,0,-1
2700,325,60,0,0,0,65,0,1,-1
2701,692,60,0,0,0,-1,0,0,-1
2702,323,60,1,0,0,85,0,0,-1
3767,135,85,0,0,0,-1,0,0,-1
3768,143,85,0,0,1,8,0,0,136
3769,137,85,0,0,0,-1,0,0,-1
3770,144,85,0,0,0,-1,1,0,-1
3771,141,85,1,0,0,-1,1,0,-1
3772,147,85,0,0,0,82,0,1,149
3773,145,85,1,0,0,75,0,0,157
3774,152,85,0,0,0,82,0,1,153
3775,160,85,0,0,0,-1,0,0,-1
3776,159,85,0,0,0,-1,0,0,-1
3777,158,85,0,0,0,75,0,1,146
3778,134,85,0,0,0,-1,0,0,-1
3779,140,85,0,0,0,-1,0,0,-1
3780,139,85,0,0,0,-1,0,0,-1
3781,136,85,0,0,0,8,0,0,-1
3782,146,85,0,0,0,75,0,0,-1
3783,149,85,0,0,0,82,0,0,-1
3784,153,85,0,0,0,82,0,0,-1
3785,155,85,0,0,0,-1,0,0,-1
3786,156,85,0,0,0,-1,0,0,-1
3787,157,85,0,0,0,75,0,0,-1
3788,622,85,0,0,0,-1,0,0,-1
3789,628,85,0,0,0,-1,0,0,-1
3790,651,85,0,0,0,-1,0,0,-1
3791,649,85,0,0,0,-1,0,0,-1
3792,725,85,0,0,0,68,0,0,638
3793,634,85,0,0,0,82,0,0,653
3794,632,85,0,0,0,-1,0,0,-1
3795,633,85,0,0,0,68,0,0,625
3796,642,85,0,0,0,77,0,0,650
3797,639,85,0,0,0,-1,0,0,-1
3798,641,85,0,0,0,69,0,0,730
3799,620,85,0,0,0,-1,0,0,-1
3800,621,85,0,0,0,-1,0,0,-1
3801,627,85,0,0,0,-1,0,0,-1
3802,624,85,0,0,0,-1,0,0,-1
3803,625,85,0,0,0,68,0,0,-1
3804,653,85,0,0,0,82,0,0,-1
3805,637,85,0,0,0,-1,0,0,-1
3806,638,85,0,0,0,68,0,0,-1
3807,650,85,0,0,0,77,0,0,-1
3808,643,85,0,0,0,-1,0,0,-1
3809,646,85,0,0,0,-1,0,0,-1
3810,730,85,0,0,0,69,0,0,-1
4501,135,102,0,0,0,-1,0,0,-1
4502,136,102,1,0,0,65,0,0,146
4503,137,102,0,0,0,-1,0,0,-1
4504,139,102,0,0,0,-1,0,0,-1
4505,141,102,0,0,0,-1,0,1,-1
4506,147,102,1,0,0,65,0,0,151
4507,148,102,1,0,0,-1,0,0,-1
4508,152,102,0,0,0,72,0,0,149
4509,160,102,0,0,0,70,1,0,156
4510,159,102,0,0,0,-1,1,0,-1
4511,158,102,0,0,0,69,0,0,157
4512,134,102,0,0,0,-1,0,0,-1
4513,142,102,0,0,0,-1,0,0,-1
4514,140,102,0,0,0,-1,0,0,-1
4515,146,102,0,0,0,65,0,0,-1
4516,151,102,0,0,0,65,0,0,-1
4517,153,102,0,0,0,-1,0,0,-1
4518,658,102,0,0,0,-1,0,0,-1
4519,149,102,0,0,0,72,0,0,-1
4520,157,102,0,0,0,69,0,0,-1
4521,156,102,0,0,0,70,0,1,-1
4522,161,102,0,0,0,-1,0,0,-1
4523,155,102,0,0,0,-1,0,0,-1
4524,232,102,0,0,0,-1,0,0,-1
4525,685,102,0,0,0,-1,0,0,-1
4526,234,102,0,0,0,-1,0,0,-1
4527,238,102,0,0,0,-1,0,0,-1
4528,241,102,0,0,0,-1,0,0,-1
4529,245,102,0,0,0,-1,0,0,-1
4530,248,102,0,0,0,-1,0,0,-1
4531,249,102,1,0,0,59,0,0,260
4532,253,102,0,0,0,73,1,1,236
4533,254,102,0,0,1,78,1,1,259
4534,252,102,0,0,0,73,0,0,244
4535,233,102,0,0,0,-1,0,0,-1
4536,231,102,0,0,0,-1,0,0,-1
4537,686,102,0,0,0,-1,0,0,-1
4538,242,102,0,0,0,-1,0,0,-1
4539,236,102,0,0,0,73,0,0,-1
4540,244,102,0,0,0,73,0,0,-1
4541,247,102,0,0,0,-1,0,0,-1
4542,260,102,0,0,0,59,0,0,-1
4543,255,102,0,0,0,-1,0,0,-1
4544,259,102,0,0,0,78,0,0,-1
5386,135,122,1,0,0,-1,0,0,-1
5387,136,122,0,0,0,-1,0,0,-1
5388,137,122,0,0,0,-1,0,0,-1
5389,140,122,0,0,0,-1,0,0,-1
5390,141,122,0,0,0,-1,0,0,-1
5391,148,122,0,0,0,-1,0,0,-1
5392,151,122,0,0,0,69,0,0,147
5393,152,122,0,0,0,85,0,1,153
5394,160,122,0,0,0,-1,1,0,-1
5395,159,122,0,0,0,80,0,0,161
5396,158,122,0,0,0,80,0,2,156
5397,134,122,0,0,0,-1,0,0,-1
5398,139,122,0,0,0,-1,0,0,-1
5399,149,122,0,0,0,-1,0,0,-1
5400,153,122,0,0,0,85,0,0,-1
5401,658,122,0,0,0,-1,0,0,-1
5402,146,122,0,0,0,-1,0,0,-1
5403,147,122,0,0,0,69,0,0,-1
5404,157,122,0,0,0,-1,0,0,-1
5405,161,122,1,0,0,80,0,0,-1
5406,155,122,0,0,0,-1,0,0,-1
5407,156,122,0,0,0,80,0,1,-1
5408,520,122,1,0,0,-1,0,0,-1
5409,531,122,0,0,0,-1,0,0,-1
5410,522,122,0,0,0,-1,0,0,-1
5411,528,122,0,0,0,-1,0,0,-1
5412,527,122,0,0,0,-1,0,0,-1
5413,530,122,0,0,0,-1,1,0,-1
5414,532,122,0,0,0,-1,0,0,-1
5415,534,122,0,0,0,69,0,0,537
5416,545,122,0,0,0,84,0,1,542
5417,544,122,1,0,0,-1,1,1,-1
5418,546,122,0,0,0,89,0,1,540
5419,518,122,0,0,0,-1,0,0,-1
5420,721,122,0,0,0,-1,0,0,-1
5421,525,122,0,0,0,-1,0,0,-1
5422,521,122,0,0,0,-1,0,0,-1
5423,539,122,0,0,0,-1,0,0,-1
5424,533,122,0,0,0,-1,0,0,-1
5425,537,122,0,0,0,69,0,0,-1
5426,542,122,0,0,0,84,0,0,-1
5427,541,122,0,0,0,-1,0,0,-1
5428,540,122,0,0,0,89,0,0,-1
5429,543,122,0,0,0,-1,0,0,-1
6188,135,140,0,0,0,-1,0,0,-1
6189,136,140,0,0,0,-1,0,0,-1
6190,137,140,1,0,0,84,0,0,658
6191,140,140,0,0,0,-1,1,0,-1
6192,141,140,0,0,0,74,0,0,144
6193,148,140,0,0,0,81,0,0,146
6194,145,140,0,0,0,-1,0,0,-1
6195,152,140,0,0,0,74,1,0,149
6196,160,140,0,0,0,-1,0,1,-1
6197,159,140,0,0,0,81,0,1,156
6198,158,140,0,0,0,-1,1,1,-1
6199,134,140,0,0,0,-1,0,0,-1
6200,144,140,0,0,0,74,0,0,-1
6201,139,140,0,0,0,-1,0,0,-1
6202,146,140,0,0,0,81,0,0,-1
6203,149,140,0,0,0,74,0,0,-1
6204,153,140,0,0,0,-1,0,0,-1
6205,658,140,0,0,0,84,0,0,-1
6206,155,140,0,0,0,-1,0,0,-1
6207,156,140,0,0,0,81,0,0,-1
6208,157,140,0,0,0,-1,0,0,-1
6209,161,140,0,0,0,-1,0,0,-1
6210,461,140,0,0,0,-1,0,0,-1
6211,465,140,0,0,0,-1,0,0,-1
6212,462,140,0,0,0,-1,0,0,-1
6213,468,140,1,0,0,-1,0,1,-1
6214,466,140,0,0,0,-1,0,0,-1
6215,475,140,0,0,0,55,0,0,474
6216,476,140,0,0,0,-1,0,0,-1
6217,478,140,0,0,0,55,0,0,472
6218,479,140,0,0,0,-1,0,0,-1
6219,481,140,0,0,0,55,0,0,482
6220,485,140,0,0,0,69,0,0,483
6221,460,140,0,0,0,-1,0,0,-1
6222,463,140,0,0,0,-1,0,0,-1
6223,467,140,0,0,0,-1,0,0,-1
6224,469,140,0,0,0,-1,0,0,-1
6225,471,140,0,0,0,-1,0,0,-1
6226,472,140,0,0,0,55,0,0,-1
6227,477,140,0,0,0,-1,0,0,-1
6228,474,140,0,0,0,55,0,0,-1
6229,482,140,0,0,0,55,0,0,-1
6230,484,140,0,0,0,-1,0,0,-1
6231,483,140,1,0,0,69,0,0,-1
6232,480,140,0,0,0,-1,0,0,-1
7068,135,160,0,0,0,-1,0,0,-1
7069,136,160,0,0,0,-1,0,0,-1
7070,137,160,0,0,0,-1,0,0,-1
7071,144,160,0,0,0,-1,0,0,-1
7072,140,160,0,0,0,-1,1,0,-1
7073,146,160,0,0,0,77,0,0,151
7074,145,160,0,0,0,-1,1,0,-1
7075,152,160,0,0,0,85,0,0,153
7076,160,160,0,0,0,90,0,1,156
7077,159,160,0,0,0,85,0,0,150
7078,158,160,0,0,0,-1,0,1,-1
7079,134,160,0,0,0,-1,0,0,-1
7080,139,160,0,0,0,-1,0,0,-1
7081,138,160,0,0,0,-1,0,0,-1
7082,150,160,0,0,0,85,0,0,-1
7083,151,160,0,0,0,77,0,0,-1
7084,153,160,0,0,0,85,0,0,-1
7085,658,160,0,0,0,-1,0,0,-1
7086,161,160,0,0,0,-1,0,0,-1
7087,155,160,0,0,0,-1,0,0,-1
7088,157,160,0,0,0,-1,0,0,-1
7089,156,160,0,0,0,90,0,0,-1
7090,101,160,0,0,0,-1,0,0,-1
7091,103,160,0,0,0,-1,0,0,-1
7092,108,160,0,0,0,-1,0,0,-1
7093,664,160,0,0,0,46,0,0,118
7094,110,160,0,0,0,46,0,0,107
7095,115,160,0,0,0,-1,0,0,-1
7096,120,160,0,0,0,60,0,0,128
7097,116,160,0,0,0,-1,0,0,-1
